UserId,ProductId,Rating,time,price,ProductName,Calories,Fat,Carb,Fiber,Protein,Sodium
3596,2,3,2/19/2024 7:45,15,Tea_Milk,50,2,8,0,3,25
3389,3,3,2/19/2024 7:45,15,Nescaffee black,80,3,10,0,1,100
1279,6,5,2/19/2024 7:45,20,Cacao_Milk,200,10,20,5,6,100
3878,6,3,2/19/2024 7:45,20,Cacao_Milk,200,10,20,5,6,100
4614,3,5,2/19/2024 7:45,15,Nescaffee black,80,3,10,0,1,100
1461,1,4,2/19/2024 7:45,10,Tea,2,0,0,0,0,0
2084,4,5,2/19/2024 7:45,20,Nescafee,100,3,12,1,5,120
4191,2,2,2/19/2024 7:45,15,Tea_Milk,50,2,8,0,3,25
4350,1,3,2/19/2024 7:45,10,Tea,2,0,0,0,0,0
4659,6,1,2/19/2024 7:45,20,Cacao_Milk,200,10,20,5,6,100
1324,2,3,2/19/2024 7:45,15,Tea_Milk,50,2,8,0,3,25
1429,6,2,2/19/2024 7:45,20,Cacao_Milk,200,10,20,5,6,100
2576,2,1,2/19/2024 7:45,15,Tea_Milk,50,2,8,0,3,25
4624,5,2,2/19/2024 7:45,15,Cacao,150,8,15,5,4,50
1278,2,5,2/19/2024 7:45,15,Tea_Milk,50,2,8,0,3,25
2797,6,1,morning,20,Cacao_Milk,200,10,20,5,6,100
4352,2,3,2/20/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
39,6,2,2/20/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
3223,4,3,2/20/2024 10:45,20,Nescafee,100,3,12,1,5,120
1637,6,5,afternoon,20,Cacao_Milk,200,10,20,5,6,100
1968,5,2,2/20/2024 10:45,15,Cacao,150,8,15,5,4,50
4041,2,3,morning,15,Tea_Milk,50,2,8,0,3,25
1906,2,5,2/20/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
1910,6,1,2/20/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
1573,6,5,2/20/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
2465,1,3,2/20/2024 10:45,10,Tea,2,0,0,0,0,0
3788,5,4,2/20/2024 10:45,15,Cacao,150,8,15,5,4,50
2424,4,5,2/20/2024 10:45,20,Nescafee,100,3,12,1,5,120
560,6,4,2/20/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
3902,6,5,2/20/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
3861,2,1,2/20/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
3207,1,2,2/20/2024 10:45,10,Tea,2,0,0,0,0,0
4345,5,3,2/21/2024 10:45,15,Cacao,150,8,15,5,4,50
3869,5,1,2/21/2024 10:45,15,Cacao,150,8,15,5,4,50
956,4,4,2/21/2024 10:45,20,Nescafee,100,3,12,1,5,120
2817,2,3,evening,15,Tea_Milk,50,2,8,0,3,25
3396,2,5,2/21/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
975,1,2,afternoon,10,Tea,2,0,0,0,0,0
4204,5,1,2/21/2024 10:45,15,Cacao,150,8,15,5,4,50
2143,6,5,morning,20,Cacao_Milk,200,10,20,5,6,100
3823,2,3,2/21/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
4508,2,5,2/21/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
3691,4,1,2/21/2024 10:45,20,Nescafee,100,3,12,1,5,120
2602,1,3,2/21/2024 10:45,10,Tea,2,0,0,0,0,0
2947,1,4,2/21/2024 10:45,10,Tea,2,0,0,0,0,0
1408,6,1,2/21/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
2518,3,1,2/21/2024 10:45,15,Nescaffee black,80,3,10,0,1,100
3731,5,1,2/21/2024 10:45,15,Cacao,150,8,15,5,4,50
4297,1,1,2/22/2024 10:45,10,Tea,2,0,0,0,0,0
3104,4,2,2/22/2024 10:45,20,Nescafee,100,3,12,1,5,120
3084,2,5,2/22/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
367,2,1,2/22/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
4100,5,3,2/22/2024 10:45,15,Cacao,150,8,15,5,4,50
2958,6,2,2/22/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
2873,2,3,evening,15,Tea_Milk,50,2,8,0,3,25
1199,3,2,2/22/2024 10:45,15,Nescaffee black,80,3,10,0,1,100
3987,1,5,2/22/2024 10:45,10,Tea,2,0,0,0,0,0
4548,3,2,2/22/2024 10:45,15,Nescaffee black,80,3,10,0,1,100
4013,6,4,2/22/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
2156,4,5,2/22/2024 10:45,20,Nescafee,100,3,12,1,5,120
4823,3,4,2/22/2024 10:45,15,Nescaffee black,80,3,10,0,1,100
3980,1,3,morning,10,Tea,2,0,0,0,0,0
2933,1,1,2/22/2024 10:45,10,Tea,2,0,0,0,0,0
617,6,3,2/22/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
2697,4,1,2/23/2024 10:45,20,Nescafee,100,3,12,1,5,120
4065,3,4,2/23/2024 10:45,15,Nescaffee black,80,3,10,0,1,100
2473,1,4,2/23/2024 10:45,10,Tea,2,0,0,0,0,0
4571,3,1,2/23/2024 10:45,15,Nescaffee black,80,3,10,0,1,100
4752,3,3,evening,15,Nescaffee black,80,3,10,0,1,100
4582,4,4,evening,20,Nescafee,100,3,12,1,5,120
2651,5,4,evening,15,Cacao,150,8,15,5,4,50
4103,2,2,evening,15,Tea_Milk,50,2,8,0,3,25
2152,5,5,2/23/2024 10:45,15,Cacao,150,8,15,5,4,50
3994,6,4,2/23/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
2574,4,2,2/23/2024 10:45,20,Nescafee,100,3,12,1,5,120
2521,2,2,2/23/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
1967,2,3,2/23/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
3246,2,2,2/23/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
3584,1,5,morning,10,Tea,2,0,0,0,0,0
3990,4,1,2/23/2024 10:45,20,Nescafee,100,3,12,1,5,120
2587,5,1,2/24/2024 10:45,15,Cacao,150,8,15,5,4,50
3472,2,1,2/24/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
2176,2,2,2/24/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
3452,4,2,2/24/2024 10:45,20,Nescafee,100,3,12,1,5,120
3209,2,2,2/24/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
3132,6,4,2/24/2024 10:45,20,Cacao_Milk,200,10,20,5,6,100
1382,4,5,2/24/2024 10:45,20,Nescafee,100,3,12,1,5,120
4094,5,2,2/24/2024 10:45,15,Cacao,150,8,15,5,4,50
3011,2,3,2/24/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
2368,1,4,2/24/2024 10:45,10,Tea,2,0,0,0,0,0
1296,3,5,2/24/2024 10:45,15,Nescaffee black,80,3,10,0,1,100
3262,5,3,evening,15,Cacao,150,8,15,5,4,50
1984,3,2,2/24/2024 10:45,15,Nescaffee black,80,3,10,0,1,100
1579,2,5,2/24/2024 10:45,15,Tea_Milk,50,2,8,0,3,25
1014,4,4,afternoon,20,Nescafee,100,3,12,1,5,120
